appid,reviewId,cluster_id,cluster_size
250460,33028150,8,21
250460,33428751,8,21
250460,33871876,6,32
250460,34298611,4,14
250460,38270913,6,32
250460,38356502,6,32
250460,38749013,0,13
250460,39019697,2,9
250460,39075385,6,32
250460,39289734,5,14
250460,40402674,7,6
250460,40535781,3,20
250460,40655964,6,32
250460,41527356,6,32
250460,41960503,4,14
250460,42200991,4,14
250460,43974771,8,21
250460,45281382,5,14
250460,45300536,5,14
250460,45601365,8,21
250460,51704104,2,9
250460,52604027,8,21
250460,52660631,6,32
250460,53543145,7,6
250460,55140805,0,13
250460,59815563,11,6
250460,61194268,3,20
250460,64567893,10,5
250460,67248959,0,13
250460,73230047,2,9
250460,74839873,0,13
250460,75662043,8,21
250460,76354964,5,14
250460,79531824,6,32
250460,83789903,2,9
250460,84175719,8,21
250460,88906839,2,9
250460,92249267,5,14
250460,92294186,4,14
250460,92388533,6,32
250460,94167261,6,32
250460,97209105,5,14
250460,107819575,4,14
250460,110745649,1,9
250460,111798668,6,32
250460,116360090,4,14
250460,117776873,5,14
250460,120041706,6,32
250460,120539506,8,21
250460,126744524,10,5
250460,129470463,4,14
250460,131526951,6,32
250460,131733279,3,20
250460,132381029,6,32
250460,138414159,7,6
250460,140638471,2,9
250460,143568169,1,9
250460,145943758,7,6
250460,148711094,6,32
250460,149975349,4,14
250460,151294517,7,6
250460,159124618,8,21
250460,161089838,8,21
250460,161097835,8,21
250460,172364657,3,20
250460,173476089,9,1
250460,183753218,11,6
250460,187123959,6,32
250460,189875907,2,9
250460,194787376,2,9
250460,196017769,3,20
312370,13090654,5,26
312370,13090861,3,26
312370,13097401,7,11
312370,13098375,1,18
312370,13100937,5,26
312370,13100945,7,11
312370,13102061,1,18
312370,13110237,5,26
312370,13114130,3,26
312370,13116187,7,11
312370,13124792,3,26
312370,13143005,5,26
312370,13146943,5,26
312370,13173335,7,11
312370,13191596,2,10
312370,13208208,7,11
312370,13215727,11,24
312370,13245744,11,24
312370,13254955,3,26
312370,13289042,3,26
312370,13300951,5,26
312370,13424253,1,18
312370,13426514,3,26
312370,13487151,5,26
312370,13768842,11,24
312370,13858689,9,6
312370,13888106,5,26
312370,14231263,11,24
312370,14299032,9,6
312370,14715409,11,24
312370,14753795,2,10
312370,14943631,4,10
312370,14976797,7,11
312370,15269429,11,24
312370,15512961,1,18
312370,15931131,11,24
312370,16707710,11,24
312370,16884657,3,26
312370,17344909,11,24
312370,17838547,8,12
312370,19171110,11,24
312370,19277717,11,24
312370,19394360,4,10
312370,20958448,1,18
312370,21271353,7,11
312370,21684344,3,26
312370,21748328,5,26
312370,22716536,6,4
312370,23199200,5,26
312370,23480013,5,26
312370,23908425,8,12
312370,23942389,1,18
312370,24730259,8,12
312370,24796130,1,18
312370,26179441,1,18
312370,26886946,3,26
312370,27475746,5,26
312370,28103925,8,12
312370,28230247,3,26
312370,28967050,3,26
312370,29262839,11,24
312370,29854478,3,26
312370,30183275,11,24
312370,30418684,6,4
312370,30474876,8,12
312370,31556578,9,6
312370,32732103,5,26
312370,33453105,5,26
312370,35817712,11,24
312370,36410311,3,26
312370,37742785,7,11
312370,37868579,1,18
312370,38315830,7,11
312370,39901045,0,1
312370,39986743,5,26
312370,42600831,5,26
312370,42700989,7,11
312370,43343185,11,24
312370,44334633,8,12
312370,44942274,11,24
312370,45421017,6,4
312370,46664150,4,10
312370,47272390,1,18
